,funding_total_usd,milestones,web,biotech,active_days,isClosed,funding_per_active_day,PC1,PC2,PC3,PC4,PC5,PC6,PC7,status
23,10200000.0,1.59,0,1,7305,1,1396.3,-2.2226233664272135,-0.2937033323795026,1.587418348158804,-1.6329196534824115,1.6531090056489781,0.2876273447106915,0.0071465389260722155,1
24,205000.0,1.59,0,0,1461,0,140.31,2.9460515941210206,0.3642581468776124,1.2877162097095332,-1.588283854828044,-0.9802712106485737,-0.8884456683901009,1.3909723979033515,3
25,1000000.0,2.0,0,0,4748,1,210.61,0.035161333885770446,0.1045213066148276,-0.39954635169334934,0.06611542778215558,-0.4081881062162204,0.7938744592773468,0.261511824951119,1
26,27000000.0,1.0,0,0,5113,1,5280.66,-1.7766377313884385,1.0028916710279678,0.8336517008445345,0.10273419615970393,-0.813107386536235,-2.409404817875665,-1.7740352303908706,1
27,3500000.0,3.0,0,0,4383,1,798.54,-0.1635308345145874,1.4091050563101957,-0.6029760220615004,-0.4517888654658097,-0.7147617179647662,1.5401356091778127,0.1852490324320176,1
28,230000.0,1.59,0,0,5478,1,41.99,-0.04540919692224194,-0.3985641608193226,-0.33364414489769856,0.32560184009804166,-0.25032747067274513,0.4214879152761089,0.4375867674062205,1
29,375000.0,1.59,0,0,1095,0,342.47,3.0249575318320705,0.36992960910977396,1.3111366858008182,-1.623210708881499,-1.0087720996783558,-0.8749176819510741,1.2751539337673388,3
30,450000.0,1.0,0,0,4383,1,102.67,0.2775197034259997,-1.0644330725795526,-0.09176880849393414,0.4866293683695577,-0.19873434362209197,-0.06449867588422765,-0.012620760337317679,1
31,500000.0,2.0,1,0,5113,1,97.79,0.9961435527300294,1.2893846733793588,-1.4677123734069903,0.655223156532517,2.2022563561259494,0.07529363623416745,0.060106442900089506,1
32,100000.0,2.0,0,0,3652,1,27.38,0.37069423026874243,0.01216540566060745,-0.3815224743279759,-0.015774899340335144,-0.4584784726138966,0.9554141234252391,0.019049727792472146,1
33,27100000.0,1.0,0,0,4748,1,5707.67,-1.692969421338675,1.0033715453108036,0.8550582535310446,0.06959218921052714,-0.8397378644383556,-2.3897084499723507,-1.8843613703379065,1
34,17900000.0,4.0,1,0,8035,1,2227.75,-1.1829248909002819,4.931700451053281,-1.5985280666372885,-0.26975508855496055,1.5216269664196926,0.21772686887612627,0.018736053801526462,1
